FullID,Population,IndID,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,Total_Reads,Total_corr,180knobreads,180knob%,180knobMB,180knobuncorMB,TR1total,TR1%,TR1MB,TR1uncorMB,CentCreads,CentC%,CentCMB,CentCuncorMB,Cpreads,CP%,CPMB,CPuncorMB,mtreads,mt%,mtMB,mtuncorMB,cDNAreads,cDNA%,cDNAMB,cDNAuncorMB,TotallTereads,TotallTe%,TotallTeMB,TotallTeuncorMB,TotFTereads,TotFTe%,TotFTeMB,TotFTeuncorMB,CRMallreads,CRMall%,CRMallMB
RIMMA0466.1,RIMMA0466,1,0,0,mays,SAH,1,3600,2.875,1035623,947846.6667,10091,1.064623673,30.60793061,28.01369321,1767,0.186422558,5.359648537,4.905380626,4599,0.485205061,13.94964551,12.76731494,94390,9.95836176,286.3029006,262.0367161,34979,3.690364827,106.0979888,97.10543798,52797.33333,5.570239912,160.1443975,146.5710334,655773,69.18555744,1989.084776,1820.495851,170243,15990908.74,516.3795392,472.6127413,3488.666667,0.368062345,10.58179241
RIMMA0467.1,RIMMA0467,1,0,0,mays,SAH,1,2800,2.76,1131998,1041680.167,8243,0.791317745,21.84036975,20.09780936,1449,0.139102197,3.839220644,3.532903768,3231,0.31017198,8.560746653,7.877717098,89757,8.616560329,237.8170651,218.8425421,32319,3.102583791,85.63131262,78.79911449,57998.83333,5.567815841,153.6717172,141.4108329,701709,67.36319097,1859.224071,1710.883623,172401,21786570.72,456.7877696,420.3424034,3431.833333,0.32945173,9.092867754
RIMMA0468.1,RIMMA0468,1,0,0,mays,SAH,1,3150,2.77,876259,786087,6427,0.817593981,22.64735328,20.31681272,1260,0.160287602,4.439966569,3.983068933,3199,0.406952411,11.27258179,10.11256946,128043,16.28865507,451.1957455,404.7651551,47144,5.997300553,166.1252253,149.0300014,43028,5.473694388,151.6213345,136.0186429,518708,65.98608042,1827.814428,1639.722,133558,16335492.07,470.6294087,422.1989845,2730.333333,0.347332208,9.62110216
RIMMA0473.1,RIMMA0473,1,0,0,mays,SAH,1,3104,2.75,1458848,1326851.333,8650,0.651919306,17.92778091,16.30567407,1967,0.148245696,4.076756652,3.707891432,6715,0.506085334,13.91734668,12.6581042,140390,10.58068801,290.9689204,264.6420326,54525,4.109352618,113.007197,102.7822981,77471.66667,5.838760132,160.5659036,146.0378897,916324,69.06003536,1899.150972,1727.315663,235107,36063819.24,487.277085,443.1882211,4950,0.373063649,10.25925035
RIMMA0614.1,RIMMA0614,1,0.714285714,1,mays,MH,1,2060,3.04,900171,824659.5,72391,8.778289706,266.8600071,244.474261,1292,0.156670723,4.762789976,4.36325987,2896,0.351175243,10.67572738,9.780186209,68153,8.264380632,251.2371712,230.1619581,30310,3.675456355,111.7338732,102.3609959,45201.5,5.481231951,166.6294513,152.6516184,560471,67.96392936,2066.103452,1892.786859,158303,1803346.726,583.5634222,534.6107795,2352.666667,0.285289464,8.672799703
RIMMA0615.1,RIMMA0615,1,0,0,mays,ML,1,152,2.95,878433,810493,63554,7.841400234,231.3213069,213.4303925,7145,0.88156221,26.00608519,23.99471559,2760,0.340533478,10.04573759,9.268777471,60830,7.505308497,221.4066007,204.2825122,24667,3.043456267,89.78195987,82.83801952,43273,5.339096081,157.5033344,145.3216694,552191,68.13026146,2009.842713,1854.39692,161559,2060333.552,588.0359855,542.5559491,2748.5,0.339114588,10.00388035
RIMMA0616.1,RIMMA0616,1,0,0,mays,MH,1,1800,3.105,1141124,1060251,86796,8.186363418,254.1865841,236.1720374,7847,0.740107767,22.98034616,21.35169797,4176,0.393868999,12.22963242,11.36290184,62166,5.863328589,182.0563527,169.1537729,26431,2.492900266,77.40455326,71.91878797,54442,5.134821849,159.4362184,148.1367581,713230,67.26992005,2088.731017,1940.699828,196592,2401457.032,575.7298602,534.927107,3238.5,0.30544654,9.484115082
RIMMA0619.1,RIMMA0619,1,0,0,mays,ML,1,747,3.02,1237978,1134779,71869,6.333303665,191.2657707,175.3216778,7576,0.667618981,20.16209324,18.48136235,4952,0.436384529,13.17881279,12.08021467,102682,9.048634139,273.268751,250.4888132,43493,3.832728663,115.7484056,106.0995107,59706,5.261465008,158.8962432,145.6505043,770954,67.93869115,2051.748473,1880.712807,219662,3468363.616,584.5889288,535.8570508,3832.499999,0.337730959,10.19947496
RIMMA0620.1,RIMMA0620,1,0,0,mays,MH,1,1799,2.99,735468,674844.3333,58394,8.652958485,258.7234587,237.3972219,5788,0.857679277,25.64461039,23.53075865,2291,0.339485699,10.15062239,9.313919844,61688,9.141071052,273.3180245,250.7887767,26826,3.975138958,118.8566548,109.059456,33797.66667,5.00821671,149.7456796,137.4023388,456493,67.64419251,2022.561356,1855.844265,136728,1580130.082,605.7941066,555.8592896,2490.333333,0.369023375,11.03379891
RIMMA0621.1,RIMMA0621,1,1,1,mays,MH,1,1870,3.015,790645,741271.6667,67587,9.117709881,274.8989529,257.7323641,7372,0.994507187,29.98439169,28.11195922,3064,0.413343736,12.46231364,11.68408072,30506,4.115360315,124.0781135,116.3298193,11600,1.564878373,47.18108296,44.23477035,37773.33333,5.095747623,153.6367908,144.0426487,498099,67.19520284,2025.935366,1899.421972,141851,1555774.442,576.9554999,540.9264145,2099.5,0.283229495,8.539369281
RIMMA0623.1,RIMMA0623,1,0,0,mays,MH,1,2520,2.76,958986,879983.5,23487,2.669027317,73.66515395,67.59652383,2524,0.28682356,7.916330249,7.264172783,2841,0.322846962,8.910576164,8.17651144,78179,8.88414385,245.2023703,225.0022837,30773,3.496997387,96.51712788,88.56592276,48229.5,5.480727764,151.2680863,138.8064268,592021,67.27637507,1856.827952,1703.860077,150701,5646289.157,472.6619988,433.7234954,2590.75,0.294408929,8.125686447
RIMMA0625.1,RIMMA0625,1,0,0,mays,MH,1,2600,2.675,140007,128327.5,4290,3.343009098,89.42549337,81.96554458,300,0.23377686,6.253531005,5.731856264,348,0.271181158,7.254095965,6.648953267,13969,10.88542986,291.1852487,266.8943339,4825,3.759911165,100.5776237,92.18735492,6854.5,5.341411623,142.8827609,130.9633625,82817,64.53566071,1726.328924,1582.317134,21320,637748.7879,444.4176034,407.3439185,346.1666667,0.269752521,7.215879943
RIMMA0626.1,RIMMA0626,2,0,0,mays,MH,1,2260,2.775,1058888,954769.8333,19435,2.035569131,56.48704339,50.93279459,3391,0.355164133,9.855804689,8.886704732,4521,0.473517265,13.1401041,11.84806608,114286,11.97000534,332.1676481,299.5063217,48456,5.075149875,140.835409,126.9873679,55662.16667,5.829904206,161.7798417,145.8723798,655547,68.66021287,1905.320907,1717.974824,170137,8358202.991,494.4963263,445.8735721,3030.833333,0.317441254,8.808994803
RIMMA0628.1,RIMMA0628,1,0,0,mays,ML,1,300,3.15,697065,654104.8333,56432,8.627363249,271.7619423,255.0132341,4046,0.618555283,19.4844914,18.28366078,2688,0.410943302,12.94471401,12.14693034,24424,3.733958038,117.6196782,110.3707689,10794,1.650194197,51.9811172,48.77751716,32166.16667,4.917585841,154.903954,145.357212,442007,67.57433633,2128.591594,1997.406339,122320,1417814.418,589.0615393,552.7576338,2011.166667,0.307468553,9.685259423
RIMMA0630.1,RIMMA0630,1,0,0,mays,MH,1,2220,2.66,886665,819597,21423,2.613845585,69.52829256,64.26912081,599,0.073084699,1.944052992,1.797003378,3755,0.458151994,12.18684305,11.26502117,50200,6.124961414,162.9239736,150.6002831,21483,2.621166256,69.72302241,64.44912114,45585,5.561879802,147.9460027,136.7552571,564001,68.81442953,1830.463826,1692.00618,142734,5460689.829,463.2428376,428.2028049,2801.166667,0.34177366,9.091179364
RIMMA0657.1,RIMMA0657,1,0,0,mays,SAH,1,2201,2.715,837621,756828.3333,6626,0.875495764,23.76971,21.47700452,1224,0.16172756,4.390903265,3.967379041,3389,0.447789789,12.15749278,10.98484279,89571,11.83504846,321.3215657,290.3285197,37452,4.948546236,134.3530303,121.3940195,43340.66667,5.726617881,155.4776755,140.4810887,524304,69.27647617,1880.856328,1699.438481,132488,15132911.59,475.2794051,429.436368,2656.333333,0.350982279,9.529168878
RIMMA0658.1,RIMMA0658,1,0,0,mays,SAH,1,1948,2.905,1096760,1018195.5,15848,1.556479085,45.21571741,41.97676793,1915,0.18807783,5.463660957,5.072281082,5180,0.508743164,14.77898891,13.72032167,55624,5.46299802,158.7000925,147.3318866,22995,2.258407153,65.60672778,60.90710365,55569.5,5.457645413,158.5445992,147.1875319,705101,69.25006052,2011.714258,1867.608597,176742,11355244.14,504.2602428,468.138435,3948,0.38774479,11.26398614
RIMMA0661.1,RIMMA0661,1,1,1,mays,SAH,1,2195,2.715,1255875,1179537.167,11187,0.948422849,25.74968035,24.18449686,2035,0.172525297,4.684061814,4.399343087,5250,0.445089833,12.08418895,11.34965661,89277,7.568816187,205.4933595,193.0025321,35756,3.031358486,82.3013829,77.29872798,40581.83333,3.440487886,93.40924611,87.7314044,805811,68.31586344,1854.775692,1742.033933,201466,21242212.82,463.7244213,435.5371275,3938.166666,0.333873894,9.064676212
RIMMA0662.1,RIMMA0662,1,0,0,mays,SAH,1,2195,2.74,1138894,1033012,6222,0.602316333,16.50346753,14.96915428,1481,0.143367163,3.928260272,3.563053278,4705,0.455464215,12.4797195,11.31949066,113762,11.01265039,301.7466206,273.6934956,45467,4.401400952,120.5983861,109.3864574,60415,5.848431577,160.2470252,145.3489965,708290,68.56551521,1878.695117,1704.03444,182522,30303345.59,484.1282386,439.1192508,3695.666667,0.357756412,9.80252569
RIMMA0663.1,RIMMA0663,1,0,0,mays,SAH,1,2067,2.71,993813,906370.5,7059,0.778820582,21.10603776,19.24898346,1337,0.147511421,3.997559497,3.64582673,4954,0.5465756,14.81219876,13.50891969,93990,10.3699315,281.0251437,256.2986196,34946,3.855597683,104.4866972,95.29323927,52496.5,5.791947112,156.9617667,143.1511914,625203,68.97874545,1869.324002,1704.848025,158903,20403030.4,475.1115907,433.3080066,3357.5,0.370433504,10.03874795
RIMMA0667.1,RIMMA0667,1,0,0,mays,SAH,1,2201,2.895,885229,807766.3333,7537,0.933066865,27.01228573,24.64855422,1526,0.188916019,5.469118751,4.990539171,4311,0.533693944,15.45043967,14.09843668,81881,10.13671858,293.4580029,267.7787273,30410,3.764702581,108.9881397,99.451046,47052.66667,5.825034385,168.6347454,153.8782281,556925,68.94630006,1995.995387,1821.334225,142342,15255283.99,510.1476417,465.5067672,2805.666667,0.34733642,10.05538937
RIMMA0671.1,RIMMA0671,1,0,0,mays,MH,1,2477,2.86,982588,901595.5,58374,6.474522111,185.1713324,169.9080795,3739,0.414709257,11.86068475,10.88303541,2632,0.291926923,8.349109994,7.660911796,81186,9.004703329,257.5345152,236.3065293,31336,3.475616282,99.40262568,91.20909272,49656.5,5.507625094,157.5180777,144.5342198,606191,67.2353622,1922.931359,1764.428489,169932,2624626.144,539.0505166,494.6178052,2488.5,0.276010694,7.893905859
RIMMA0674.1,RIMMA0674,1,0,0,mays,MH,1,2652,2.7,1687921,1563077,51267,3.279876807,88.55667379,82.00674084,5467,0.349758841,9.443488708,8.74501828,7650,0.489419267,13.21432022,12.23694711,93314,5.969891438,161.1870688,149.2651611,39758,2.543572709,68.67646316,63.59693374,85086,5.443493827,146.9743333,136.1036447,1072836,68.63615804,1853.176267,1716.109462,275682,8405254.716,476.2026439,440.9811834,5368.833334,0.343478494,9.273919328
RIMMA0680.1,RIMMA0680,1,1,1,mays,MH,1,1890,3.175,1145651,1052721.5,120250,11.42277421,362.6730812,333.2548481,8109,0.770289198,24.45668204,22.47287787,4776,0.453681244,14.40437951,13.23596802,107322,10.19471912,323.6823319,297.4268342,39624,3.763958464,119.5056812,109.8119759,53305.5,5.063589943,160.7689807,147.7282021,684516,65.02346537,2064.495026,1897.033477,210150,1839745.723,633.8107942,582.3992211,3237,0.307488733,9.762767267
RIMMA0690.1,RIMMA0690,1,0,0,mays,SAL,1,250,3.335,1052951,972282.3333,74013,7.612295057,253.8700401,234.4205523,7072,0.727360743,24.25748077,22.399067,3479,0.357817877,11.93322619,11.01899804,66957,6.886579927,229.6674406,212.072162,28939,2.976398831,99.262901,91.65817308,51729.66667,5.320436759,177.4365659,163.8427983,668308,68.73600158,2292.345653,2116.724501,193081,2536436.102,662.282048,611.5433054,3430,0.352778188,11.76515258
RIMMA0691.1,RIMMA0691,1,0,0,mays,SAL,1,1098,3.03,856688,792028.3333,97398,12.29728734,372.6078065,344.4847366,10901,1.376339651,41.70309143,38.55549512,2116,0.26716216,8.095013436,7.484031526,58095,7.334964869,222.2494355,205.4748637,25402,3.207208496,97.17841744,89.84374708,39257.66667,4.956598775,150.1849429,138.8495345,532789,67.26893188,2038.248636,1884.409108,165856,1348720.212,634.5021495,586.6122556,2374.25,0.299768316,9.082979987
RIMMA0696.1,RIMMA0696,1,0,0,mays,ML,1,30,3.03,990239,908707.5,36256,3.989842716,120.8922343,110.9385512,7997,0.880041157,26.66524707,24.46975932,3200,0.352148519,10.67010011,9.791575569,71778,7.898911366,239.3370144,219.6311598,32714,3.600058325,109.0817672,100.100501,48817.5,5.372190721,162.7773789,149.3750751,616374,67.8297472,2055.24134,1886.022687,165083,4137581.648,550.4537929,505.1320843,3187.666667,0.35079128,10.62897577
RIMMA0700.1,RIMMA0700,1,1,1,mays,ML,1,579,2.935,927371,856508,55253,6.450961345,189.3357155,174.8680463,10642,1.242486935,36.46699155,33.6804472,3673,0.42883429,12.58628641,11.62453322,55521,6.482251187,190.2540723,175.716229,24344,2.842238485,83.41969952,77.04536804,46519,5.431239405,159.4068765,147.2261533,593119,69.24850673,2032.443672,1877.138993,173323,2686777.842,593.9267409,548.5431451,3057.166667,0.356933813,10.47600742
RIMMA0701.1,RIMMA0701,1,1,1,mays,ML,1,686,3.175,1045810,951096.6667,87302,9.179088,291.436044,265.0422639,15953,1.677326875,53.25512829,48.43210048,2727,0.286721644,9.103412201,8.278965586,122606,12.89101353,409.2896796,372.2225356,47240,4.966897862,157.6990071,143.4170643,47473.33333,4.991430945,158.4779325,144.1254466,623261,65.53077325,2080.602051,1892.17322,189776,2067482.085,633.5200418,576.1455714,3031.166667,0.31870227,10.11879707
RIMMA0702.1,RIMMA0702,1,0,0,mays,ML,1,1052,3.06,889920,807076.1667,82078,10.16979604,311.1957587,282.2261327,14600,1.808999027,55.35537022,50.20226537,1846,0.228726863,6.999042015,6.347491909,103842,12.86644363,393.7131749,357.0618932,42958,5.322669876,162.8736982,147.7115696,39885.83333,4.942016006,151.2256898,137.1478897,522362,64.72276367,1980.516568,1796.147654,164695,1619452.341,624.4351163,566.305623,2363,0.292785253,8.959228755
RIMMA0703.1,RIMMA0703,1,0,0,mays,ML,1,30,3.005,802214,730704.5,57986,7.935629245,238.4656588,217.2087872,6972,0.954147675,28.67213764,26.11629814,3314,0.45353491,13.62872406,12.41385715,81618,11.16976835,335.651539,305.7315006,33240,4.549034528,136.6984876,124.5131598,38269.5,5.237342866,157.3821531,143.3530797,483094,66.11345626,1986.709361,1809.613731,141314,1780753.556,581.1495208,529.3457481,2466.5,0.337550953,10.14340612
RIMMA0708.1,RIMMA0708,1,0,0,mays,SAL,1,1098,2.92,811469,734251,10701,1.457403531,42.5561831,38.50660962,1272,0.173237762,5.058542651,4.577180398,3317,0.451752875,13.19118394,11.93593347,84718,11.53801629,336.9100757,304.85029,35999,4.902819336,143.1623246,129.539243,41219,5.613747887,163.9214383,148.322955,484981,66.05111876,1928.692668,1745.161577,122715,8420111.341,488.01813,441.5791608,2800.166667,0.381363684,11.13581959
RIMMA0709.1,RIMMA0709,1,1,1,mays,ML,1,747,3.115,961929,879785.3333,70204,7.97967383,248.5668398,227.3405418,12788,1.453536393,45.27765864,41.41118523,3015,0.342697234,10.67501883,9.763428486,87243,9.916396272,308.8957439,282.5176754,35203,4.001316988,124.6410242,113.9973376,46940.66667,5.335468198,166.1998344,152.0072445,589894,67.04976517,2088.600185,1910.244737,175371,2197721.407,620.924951,567.9012328,2966.333333,0.337165581,10.50270786
RIMMA0710.1,RIMMA0710,1,1,1,mays,ML,1,91,3.1,699791,647107,48577,7.50679563,232.7106645,215.1909642,8722,1.347845101,41.78319814,38.63753606,2522,0.389734619,12.08177318,11.17219284,47039,7.269122417,225.3427949,208.3777871,20189,3.119885892,96.71646266,89.43513135,32495,5.021580666,155.6690006,143.9494078,446030,68.92677718,2136.730093,1975.865651,131512,1751905.959,630.0151289,582.5842287,2325.666667,0.359394454,11.14122806
RIMMA0712.1,RIMMA0712,1,0,0,mays,ML,1,1220,2.915,846341,765276,30584,3.996466634,116.4970024,105.338581,858,0.112116413,3.268193436,2.955156373,2895,0.37829489,11.02729603,9.971069581,102703,13.42038689,391.2042779,353.7335956,39116,5.111358516,148.9961008,134.7248213,41949,5.481551754,159.7872336,144.4823481,507314,66.29163857,1932.401264,1747.310257,136680,3420021.046,520.6254998,470.7584768,2580,0.33713327,9.827434808
RIMMA0716.1,RIMMA0716,1,0,0,mays,ML,1,91,3.045,1179326,1087187.5,91494,8.415659672,256.256837,236.2359772,13587,1.249738431,38.05453521,35.08140667,2949,0.271250359,8.259573441,7.614268659,97833,8.998723771,274.0111388,252.6031691,38068,3.501511929,106.6210382,98.29093906,54070.5,4.973429146,151.4409175,139.6091263,706945,65.02512216,1980.01497,1825.320162,202689,2408474.295,567.69233,523.3396067,3262,0.300040241,9.136225351
RIMMA0720.1,RIMMA0720,1,0,0,mays,ML,1,39,3.05,1539868,1416371.833,132827,9.377975252,286.0282452,263.0890115,15556,1.098299164,33.49812449,30.81160203,3898,0.275210217,8.393911627,7.720726712,117403,8.288995675,252.8143681,232.5388605,49966,3.527745951,107.5962515,98.96711926,73530.16667,5.191445137,158.3390767,145.640411,952963,67.28197904,2052.100361,1887.523573,288321,3074448.293,620.8673664,571.0743064,4805.333333,0.339270608,10.34775355
RIMMA0721.1,RIMMA0721,1,1,1,mays,ML,1,915,3.18,498783,462649.8333,45833,9.906628447,315.0307846,292.209117,7746,1.674268408,53.24173538,49.38476251,734,0.158651305,5.045111512,4.67963022,36139,7.811307256,248.3995707,230.4048454,13184,2.849671404,90.61955064,84.05482945,22949.16667,4.960374999,157.739925,146.3128254,312574,67.56168002,2148.461425,1992.821167,95528,964283.6663,656.606829,609.0404845,1389.166667,0.300263086,9.548366134
RIMMA0727.1,RIMMA0727,1,0,0,mays,ML,1,1151,3.045,421310,388358.3333,41437,10.66978521,324.8949596,299.4841447,5232,1.347209407,41.02252645,37.81405616,1318,0.339377293,10.33403858,9.525788612,35034,9.021050147,274.690977,253.2067361,13682,3.523034998,107.2764157,98.88606964,19269.66667,4.961826492,151.0876167,139.2706914,259815,66.90084329,2037.130678,1877.801797,79754,747475.2158,625.3269446,576.4186229,1190,0.306418042,9.330429373
RIMMA0729.1,RIMMA0729,1,1,1,mays,ML,1,122,3.005,1142947,1061666.5,95732,9.017144273,270.9651854,251.6955379,9494,0.894254457,26.87234645,24.96132367,4236,0.398995353,11.98981036,11.13715684,58285,5.489953766,164.9731107,153.2410733,25942,2.443516867,73.42768186,68.20588356,55338.5,5.212418401,156.6331729,145.494229,734300,69.16484602,2078.403623,1930.598269,216676,2402933.717,613.29182,569.6776666,3733.5,0.351664105,10.56750637
RIMMA0730.1,RIMMA0730,1,0,0,mays,ML,1,1067,2.84,857270,776585,47087,6.063341424,172.1988965,155.9917879,5305,0.68311904,19.40058075,17.57462643,2398,0.308787834,8.769574483,7.944194944,101977,13.13146661,372.9336518,337.8336813,39570,5.095385566,144.7089501,131.0891551,41115,5.294333524,150.3590721,136.2074959,509819,65.64883432,1864.426895,1688.949759,144789,2387940.739,529.4987155,479.66307,2356.666667,0.303465386,8.618416958
RIMMA0731.1,RIMMA0731,1,1,1,mays,ML,1,1520,3.175,895334,823227.3333,90753,11.02405087,350.0136151,321.8249,7448,0.904731864,28.72523669,26.4118195,2947,0.357981311,11.36590662,10.45054136,68199,8.28434592,263.027983,241.8447473,30126,3.659499482,116.1891086,106.8316963,41980.66667,5.099522935,161.9098532,148.8702726,554821,67.39584287,2139.818011,1967.485514,165648,1502605.548,638.8665423,587.4147525,2568.833333,0.312044223,9.907404071
RIMMA0733.1,RIMMA0733,1,0,0,mays,ML,1,107,3.695,659855,591663.3333,71911,12.1540403,449.0917892,402.6811118,11804,1.995053493,73.71722658,66.09903691,801,0.135381044,5.002329591,4.485371786,102664,17.35175973,641.147522,574.8891499,40692,6.877559874,254.1258373,227.8636064,27499.66667,4.647857171,171.7383225,153.9902984,370274,62.5818737,2312.400233,2073.428905,120012,987424.7328,749.487614,672.0330073,1689.666667,0.285579074,10.55214677